Date,AAPL,GOOGL,MSFT
2020-01-02,72.6208267211914,68.1083755493164,153.04229736328125
2020-01-03,71.91482543945312,67.7520751953125,151.1366424560547
2020-01-06,72.48784637451172,69.55794525146484,151.5272979736328
2020-01-07,72.14692687988281,69.42359161376953,150.1457061767578
2020-01-08,73.30753326416016,69.91773223876953,152.53729248046875
2020-01-09,74.86460876464844,70.65172576904297,154.4429473876953
2020-01-10,75.03385925292969,71.1080322265625,153.7283172607422
2020-01-13,76.63693237304688,71.65890502929688,155.57681274414062
2020-01-14,75.60206604003906,71.18915557861328,154.48106384277344
2020-01-15,75.27808380126953,71.61759185791016,155.4815216064453
2020-01-16,76.22103118896484,72.16299438476562,158.3304901123047
2020-01-17,77.06488800048828,73.62400817871094,159.21658325195312
2020-01-21,76.54261779785156,73.7598648071289,158.6448516845703
2020-01-22,76.81586456298828,73.84046936035156,157.8826141357422
2020-01-23,77.1857681274414,73.88127899169922,158.85450744628906
2020-01-24,76.96334838867188,72.95967864990234,157.25379943847656
2020-01-27,74.70021057128906,71.24588012695312,154.6239776611328
2020-01-28,76.81341552734375,72.17991638183594,157.65394592285156
2020-01-29,78.42131042480469,72.48843383789062,160.11227416992188
2020-01-30,78.30765533447266,72.36652374267578,164.6286163330078
2020-01-31,74.8355941772461,71.29812622070312,162.19891357421875
2020-02-03,74.6301040649414,73.77726745605469,166.1531219482422
2020-02-04,77.0938949584961,71.92662048339844,171.62232971191406
2020-02-05,77.7225341796875,71.9584732055664,171.41270446777344
2020-02-06,78.6316909790039,73.44734954833984,174.96670532226562
2020-02-07,77.5628433227539,73.60360717773438,175.21450805664062
2020-02-10,77.93123626708984,75.0740737915039,179.7975311279297
2020-02-11,77.46106719970703,75.14374542236328,175.738525390625
2020-02-12,79.30059051513672,75.57020568847656,175.99575805664062
2020-02-13,78.73588562011719,75.30945587158203,175.04295349121094
2020-02-14,78.75525665283203,75.57518005371094,176.60557556152344
2020-02-18,77.31321716308594,75.61051177978516,178.3968963623047
2020-02-19,78.43292236328125,75.8807144165039,178.93194580078125
2020-02-20,77.6282958984375,75.48859405517578,176.1994171142578
2020-02-21,75.87118530273438,73.82006072998047,170.62928771972656
2020-02-24,72.26726531982422,70.65519714355469,163.27255249023438
2020-02-25,69.81941986083984,68.9861831665039,160.57818603515625
2020-02-26,70.92700958251953,69.19269561767578,162.58462524414062
2020-02-27,66.29063415527344,65.43465423583984,151.12904357910156
2020-02-28,66.25183868408203,66.64387512207031,154.78836059570312
2020-03-02,72.4199447631836,68.9861831665039,165.0878448486328
2020-03-03,70.11993408203125,66.5677490234375,157.17691040039062
2020-03-04,73.37242889404297,68.75130462646484,162.94769287109375
2020-03-05,70.99244689941406,65.42520904541016,158.8584747314453
2020-03-06,70.04964447021484,64.4787368774414,154.3679962158203
2020-03-09,64.50927734375,60.5002555847168,143.9060821533203
2020-03-10,69.15534210205078,63.45512390136719,153.7469024658203
2020-03-11,66.7535400390625,60.25691223144531,146.78189086914062
2020-03-12,60.16132354736328,55.31304931640625,132.86134338378906
2020-03-13,67.36912536621094,60.42461395263672,151.7501220703125
2020-03-16,58.70231246948242,53.39472579956055,129.3836212158203
2020-03-17,61.28345489501953,55.637001037597656,140.03660583496094
2020-03-18,59.78323745727539,54.29989242553711,134.14161682128906
2020-03-19,59.325172424316406,55.31902313232422,136.34869384765625
2020-03-20,55.55889892578125,53.1563606262207,131.22760009765625
2020-03-23,54.37858581542969,52.455711364746094,129.9186248779297
2020-03-24,59.83413314819336,56.231658935546875,141.72769165039062
2020-03-25,59.504520416259766,54.818912506103516,140.37098693847656
